Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Fingerprint,MW,LogP,TPSA,HBD,HBA,scaffold
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CAC0>,85.10600000000001,-0.10360000000000008,29.1,1.0,1.0,O=C1CCCN1
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CBA0>,162.61899999999997,3.4932000000000016,0.0,0.0,0.0,c1ccc2ccccc2c1
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CC80>,70.135,1.9725,0.0,0.0,0.0,
Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CD60>,218.256,0.5378999999999994,58.2,2.0,2.0,O=C1NCNC(=O)C1c1ccccc1
Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CE40>,198.39399999999995,5.707400000000006,0.0,0.0,0.0,
2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CF20>,78.542,1.6336,0.0,0.0,0.0,
2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D000>,88.14999999999999,1.0248,20.23,1.0,1.0,
Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D0E0>,103.12399999999997,1.5582799999999999,23.79,0.0,1.0,c1ccccc1
Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D1C0>,304.35200000000003,3.5847200000000026,53.47,0.0,6.0,c1cncnc1
2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D2A0>,172.312,3.5079000000000025,20.23,1.0,1.0,
"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D380>,326.437,6.620600000000001,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D460>,234.29899999999995,1.5305,54.86,1.0,2.0,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D540>,260.38599999999997,3.727700000000003,18.46,0.0,5.0,
Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D620>,179.219,2.0437,38.33,1.0,2.0,c1ccccc1
Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D700>,322.243,2.9502000000000006,115.54000000000002,1.0,6.0,c1ccccc1
1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D7E0>,116.204,1.9491,20.23,1.0,1.0,
Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D8C0>,180.16699999999997,-1.039700000000001,72.68,1.0,3.0,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D9A0>,212.249,0.9389999999999998,75.27000000000001,2.0,3.0,O=C1CC(=O)NC(=O)N1
"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DA80>,318.0300000000001,6.187900000000003,0.0,0.0,0.0,C=C(c1ccccc1)c1ccccc1
Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DB60>,158.24099999999999,2.5199000000000007,26.3,0.0,2.0,
"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DC40>,134.22199999999998,2.811400000000001,0.0,0.0,0.0,c1ccccc1
Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DD20>,288.44,4.506300000000004,18.46,0.0,5.0,
Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DE00>,300.314,3.784220000000002,76.66,2.0,4.0,O=C(Nc1ccccc1)Oc1ccccc1
"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,ClC(=C)Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DEE0>,96.94399999999999,1.9352,0.0,0.0,0.0,
1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DFC0>,180.25000000000003,3.566220000000002,0.0,0.0,0.0,c1ccc2c(c1)Cc1ccccc1-2
Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E0A0>,86.13399999999999,1.3755,17.07,0.0,1.0,
Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,N(c1ccccc1)c2ccccc2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E180>,169.227,3.430200000000002,12.03,1.0,1.0,c1ccc(Nc2ccccc2)cc1
Fenothiocarb,-3.297,1,253.367,0,1,6,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E260>,253.367,3.2604000000000024,29.540000000000003,0.0,3.0,c1ccccc1
Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E340>,353.4900000000001,4.198300000000004,38.77,0.0,5.0,C1CCNCC1
1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,CCCCCCCI,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E420>,226.101,3.3918000000000026,0.0,0.0,0.0,
3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,c1c(Cl)cccc1c2ccccc2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E500>,188.657,4.007000000000002,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15,OCCCC=C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E5E0>,86.134,0.9449,20.23,1.0,1.0,
Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000002,2,2,0,75.27,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E6C0>,168.15200000000002,-0.4773,75.27,2.0,3.0,O=C1NC(=O)C2(CCC2)C(=O)N1
menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,CC(C)C1CCC(C)CC1O ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E7A0>,156.269,2.439500000000001,20.23,1.0,1.0,C1CCCCC1
Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63,CC(C)OC=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E880>,88.106,0.5678,26.3,0.0,2.0,
2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55,CCCCCC(C)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E960>,116.20399999999998,1.9475000000000002,20.23,1.0,1.0,
p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EA40>,214.06199999999998,2.4074999999999998,29.1,1.0,1.0,c1ccccc1
brompyrazone,-3.005,1,266.098,1,2,1,60.91,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O),<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EB20>,266.098,1.5771999999999997,60.910000000000004,1.0,3.0,O=c1cccnn1-c1ccccc1
nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EC00>,346.33900000000017,2.1756,107.77,1.0,7.0,C1=CC(c2ccccc2)C=CN1
"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,c2c(C)cc1nc(C)ccc1c2 ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98ECE0>,157.216,2.8516400000000006,12.89,0.0,1.0,c1ccc2ncccc2c1
1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66,CCCCCCC#C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EDC0>,110.19999999999999,2.5900000000000007,0.0,0.0,0.0,
cyclobarbital,-2.421,1,236.27099999999996,2,2,2,75.27000000000001,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EEA0>,236.27099999999993,1.2491999999999999,75.27000000000001,2.0,3.0,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1
Chrysene,-5.568,2,228.294,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EF80>,228.29399999999998,5.146200000000003,0.0,0.0,0.0,c1ccc2c(c1)ccc1c3ccccc3ccc21
Bromacil,-3.419,1,261.119,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98F060>,261.11899999999997,1.5785200000000001,54.86,1.0,2.0,O=c1cc[nH]c(=O)[nH]1
"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98F0D0>,360.88200000000006,7.274000000000001,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EF10>,108.13999999999999,1.70062,20.23,1.0,1.0,c1ccccc1
"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EE30>,128.259,3.468700000000003,0.0,0.0,0.0,
"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98ED50>,156.228,3.456640000000002,0.0,0.0,0.0,c1ccc2ccccc2c1
6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EC70>,242.321,5.454620000000004,0.0,0.0,0.0,c1ccc2c(c1)ccc1c3ccccc3ccc21
2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19,CCCC(=O)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EB90>,86.13399999999999,1.3755,17.07,0.0,1.0,
"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98EAB0>,429.77200000000016,8.580799999999998,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E9D0>,116.15999999999998,1.3496000000000001,26.3,0.0,2.0,
Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E8F0>,394.43900000000014,0.6204999999999998,115.06000000000002,4.0,6.0,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21
p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E810>,109.12799999999999,0.9743999999999999,46.25,2.0,2.0,c1ccccc1
Benznidazole,-2.321,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E730>,260.253,1.1077,90.06,1.0,4.0,O=C(Cn1ccnc1)NCc1ccccc1
"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E650>,366.84400000000016,5.505100000000005,54.37,1.0,3.0,O=C1C=C(C2CCC(c3ccccc3)CC2)C(=O)c2ccccc21
Trietazine,-3.233,1,229.715,1,1,5,53.940000000000005,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E570>,229.71499999999997,1.803,53.940000000000005,1.0,5.0,c1ncncn1
Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E490>,123.11499999999998,-0.4245000000000001,68.87,1.0,3.0,c1cnccn1
Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E3B0>,237.09699999999998,1.1349999999999998,72.19,2.0,2.0,
"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1c2ccccc2Cl ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E2D0>,223.102,4.660400000000002,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
nitrofurantoin,-1.243,1,238.159,1,2,3,118.04999999999998,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E1F0>,238.15899999999996,0.07349999999999995,118.04999999999998,1.0,6.0,O=C1CN(N=Cc2ccco2)C(=O)N1
Nitrofen,-5.361000000000001,1,284.098,0,2,3,52.37,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E110>,284.09799999999996,4.693900000000003,52.37,0.0,3.0,c1ccc(Oc2ccccc2)cc1
Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC1(C)C2CCC1(C)C(=O)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98E030>,152.237,2.401700000000001,17.07,0.0,1.0,O=C1CC2CCC1C2
5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000001,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DF50>,244.25,0.8664999999999998,75.27000000000001,2.0,3.0,O=C1NC(=O)C(c2ccccc2)C(=O)N1
Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DE70>,130.18699999999998,1.7397,26.3,0.0,2.0,
Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DD90>,130.18699999999998,1.5956000000000001,26.3,0.0,2.0,
3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DCB0>,380.444,3.5630000000000024,75.71,1.0,4.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DBD0>,257.547,5.313800000000001,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DAF0>,122.993,1.7913000000000001,0.0,0.0,0.0,
Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98DA10>,342.2260000000001,3.653400000000003,49.17,0.0,4.0,c1ccc(C2(Cn3cncn3)OCCO2)cc1
Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D930>,257.27299999999997,0.8516999999999999,55.84,0.0,6.0,
4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D850>,146.15299999999996,0.7282199999999999,51.56,0.0,4.0,c1cnc2ncncc2n1
Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32,NC(=S)N,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D770>,76.12400000000001,-0.8113000000000001,52.04,2.0,1.0,
p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D690>,106.16799999999999,2.30344,0.0,0.0,0.0,c1ccccc1
"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D5B0>,134.22199999999998,2.811400000000001,0.0,0.0,0.0,c1ccccc1
Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D4D0>,236.74,3.7268,0.0,0.0,0.0,
Flucythrinate,-6.877999999999999,1,451.4690000000001,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D3F0>,451.46900000000005,6.627980000000005,68.55000000000001,0.0,5.0,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1
1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,CCCN(=O)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D310>,89.09399999999998,0.6731,43.14,0.0,2.0,
Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,CC(C)C1CCC(C)CC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D230>,154.253,2.6477000000000013,17.07,0.0,1.0,O=C1CCCCC1
RTI 24,-4.423,1,273.723,1,3,1,45.23,-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98D150>,273.723,3.458700000000001,45.230000000000004,1.0,3.0,O=C1Nc2ccccc2Nc2ncccc21
"2,3-Dichloronitrobenzene",-3.322,1,192.00100000000003,0,1,1,43.14,-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CF90>,192.00100000000003,2.901600000000001,43.14,0.0,2.0,c1ccccc1
thiamylal,-3.063,1,254.355,2,1,5,58.2,-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CEB0>,254.35500000000002,1.5159999999999998,58.2,2.0,3.0,O=C1CC(=O)NC(=S)N1
Fluoranthene,-4.957,2,202.256,0,4,0,0.0,-6.0,c1ccc2c(c1)c3cccc4cccc2c34,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CDD0>,202.25599999999997,4.487200000000002,0.0,0.0,0.0,c1ccc2c(c1)-c1cccc3cccc-2c13
Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34,CCCOC(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C74D98CCF0>,102.17699999999998,1.8214000000000001,9.23,0.0,1.0,
